Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.06273135291559392,0.58,0.5227272727272727,1.0,0.06273135291559392,0.05944251420384014,0.2575353907443849,0.001180745094144675,0.007618411797270597,0.006577199404565557,0.025992829473666462,8.986460824589315e-06,2.9862924874044086,330000,110.62885665893555,3632.307650566101
50,0.07954812970854593,0.76,0.6571428571428571,1.0,0.07954812970854593,0.1393361325923789,0.5405497771196531,0.0006633251345275482,0.008952756091912855,0.008400420081352292,0.04279805710060606,1.679265915329885e-06,2.976588371004155,340000,110.25685501098633,3742.5645096302032
50,0.17950908913561137,0.42,0.2857142857142857,0.7333333333333333,0.17950908913561137,0.21028624022620007,0.6929601345475219,0.00181119500227106,0.017158462471205456,0.01745620637183863,0.05913931748669293,0.00021064039554527774,2.98213183030274,350000,110.25782585144043,3852.8223390579224
50,0.10314976391022539,0.52,0.35135135135135137,1.0,0.10314976391022539,0.11483061889001543,0.36387208366170265,0.0024358130696058855,0.01801787149056512,0.014702559726191743,0.05181557895485922,0.0005880447649714293,2.9662253009490254,360000,109.72792506217957,3962.5502676963806
50,0.09626587955012594,0.62,0.5365853658536586,1.0,0.09626587955012594,0.12395579723152644,0.47523646879313647,0.0009512841966298202,0.014387243319388548,0.014244376192080025,0.049145213616812455,9.679524429484498e-07,2.9762942402907537,370000,110.60419416427612,4073.1544663906097
50,0.09343531736023969,0.68,0.6097560975609756,1.0,0.09343531736023969,0.13647107975425418,0.5434022448422523,0.0008746721702391769,0.011635713591130364,0.0161239993786555,0.06149405688376913,5.060756922536935e-05,2.9668499746582415,380000,111.3161153793335,4184.470586061478
50,0.13104104900152153,0.46,0.34146341463414637,1.0,0.13104104900152153,0.15223231662800044,0.5369797750861426,0.004090904390636307,0.01098477791858088,0.011980109752959765,0.044893756866431156,2.5777125972292758e-05,2.9850978720093257,390000,109.97805857658386,4294.448647737503
50,0.17676231167522652,0.36,0.1794871794871795,1.0,0.17676231167522652,0.16401384310863246,0.6055023005210727,7.940171292047937e-05,0.009898096147039041,0.009483471817123326,0.032907166106547925,1.744596112795982e-06,2.9726441902227716,400000,110.59982705116272,4405.048478841782
50,0.1179032970479892,0.54,0.42105263157894735,0.9166666666666666,0.1179032970479892,0.13718327179465353,0.37871607213697883,8.581938531132538e-05,0.016560808391750413,0.016544937282935948,0.05000789867418049,5.0915114769456427e-05,2.973577524744556,410000,110.61184358596802,4515.660326004028
50,0.12562447960051837,0.42,0.2926829268292683,1.0,0.12562447960051837,0.12435252908719602,0.5654722473710782,0.0008953537606392614,0.011018268556341719,0.009909314190284667,0.04086055340292033,6.266886945499595e-05,2.9820813432722084,420000,110.97038173675537,4626.630711078644
50,0.08126188168990264,0.58,0.5581395348837209,0.7142857142857143,0.08126188168990264,0.1001878405802672,0.3516578398062141,0.0007138778966177539,0.010756140370872913,0.014383125296116945,0.05542793314354574,1.0382319712842758e-05,2.9722111857342357,430000,108.99390578269958,4735.624620676041
50,0.11995193755086918,0.54,0.425,1.0,0.11995193755086918,0.14152844854457752,0.4789098925759777,0.002687274402566331,0.010203203218713697,0.012186369836545145,0.04619299153634787,7.21071380326288e-05,2.9570181454916833,440000,109.25252842903137,4844.877153158188
